ssd,current_spot_price
2018-10-25,1981.0
2018-10-26,1961.0
2018-10-29,1980.0
2018-10-30,1952.0
2018-10-31,1946.0
2018-11-01,1961.0
2018-11-02,1967.0
2018-11-05,1959.0
2018-11-06,1950.0
2018-11-07,1951.0
2018-11-08,1977.0
2018-11-09,1964.0
2018-11-12,1934.0
2018-11-13,1925.0
2018-11-14,1931.0
2018-11-15,1977.0
2018-11-16,1914.0
2018-11-19,1918.0
2018-11-20,1927.0
2018-11-21,1945.0
2018-11-22,1942.0
2018-11-23,1926.0
2018-11-26,1920.0
2018-11-27,1925.0
2018-11-28,1912.0
2018-11-29,1933.0
2018-11-30,1935.0
2018-12-03,1982.0
2018-12-04,1985.0
2018-12-05,1966.0
2018-12-06,1945.0
2018-12-07,1962.0
2018-12-10,1951.0
2018-12-11,1950.0
2018-12-12,1928.0
2018-12-13,1924.0
2018-12-14,1908.0
2018-12-17,1937.0
2018-12-18,1940.0
2018-12-19,1928.0
2018-12-20,1914.0
2018-12-21,1912.0
2018-12-24,1898.0
2018-12-25,1898.0
2018-12-26,1898.0
2018-12-27,1898.0
2018-12-28,1881.0
2018-12-31,1870.0
2019-01-01,1864.0
2019-01-02,1858.0
2019-01-03,1826.0
2019-01-04,1879.0
2019-01-07,1860.0
2019-01-08,1837.0
2019-01-09,1842.0
2019-01-10,1844.0
2019-01-11,1816.0
2019-01-14,1776.0
2019-01-15,1811.0
2019-01-16,1840.0
2019-01-17,1804.0
2019-01-18,1851.0
2019-01-21,1843.0
2019-01-22,1868.0
2019-01-23,1878.0
2019-01-24,1851.0
2019-01-25,1866.0
2019-01-28,1860.0
2019-01-29,1853.0
2019-01-30,1871.0
2019-01-31,1880.0
2019-02-01,1872.0
2019-02-04,1840.0
2019-02-05,1896.0
2019-02-06,1887.0
2019-02-07,1862.0
2019-02-08,1865.0
2019-02-11,1848.0
2019-02-12,1840.0
2019-02-13,1840.0
2019-02-14,1829.0
2019-02-15,1828.0
2019-02-18,1822.0
2019-02-19,1834.0
2019-02-20,1830.0
2019-02-21,1858.0
2019-02-22,1891.0
2019-02-25,1886.0
2019-02-26,1870.0
2019-02-27,1898.0
2019-02-28,1893.0
2019-03-01,1891.0
2019-03-04,1860.0
2019-03-05,1869.0
2019-03-06,1846.0
2019-03-07,1841.0
2019-03-08,1848.0
2019-03-11,1830.0
2019-03-12,1851.0
2019-03-13,1873.0
2019-03-14,1874.0
2019-03-15,1868.0
2019-03-18,1879.0
2019-03-19,1908.0
2019-03-20,1923.0
2019-03-21,1891.0
2019-03-22,1867.0
2019-03-25,1856.0
2019-03-26,1850.0
2019-03-27,1898.0
2019-03-28,1896.0
2019-03-29,1900.0
2019-04-01,1888.0
2019-04-02,1858.0
2019-04-03,1865.0
2019-04-04,1872.0
2019-04-05,1864.0
2019-04-08,1858.0
2019-04-09,1851.0
2019-04-10,1852.0
2019-04-11,1848.0
2019-04-12,1844.0
2019-04-15,1844.0
2019-04-16,1839.0
2019-04-17,1840.0
2019-04-18,1839.0
2019-04-19,1844.3333333333333
2019-04-22,1849.6666666666667
2019-04-23,1855.0
2019-04-24,1854.0
2019-04-25,1852.0
2019-04-26,1832.0
2019-04-29,1816.0
2019-04-30,1809.0
2019-05-01,1776.0
2019-05-02,1801.0
2019-05-03,1783.0
2019-05-06,1775.0
2019-05-07,1767.0
2019-05-08,1761.0
2019-05-09,1767.0
2019-05-10,1765.0
2019-05-13,1766.0
2019-05-14,1792.0
2019-05-15,1802.0
2019-05-16,1832.0
2019-05-17,1805.0
2019-05-20,1786.0
2019-05-21,1766.0
2019-05-22,1747.0
2019-05-23,1740.0
2019-05-24,1761.0
2019-05-27,1767.0
2019-05-28,1773.0
2019-05-29,1770.0
2019-05-30,1762.0
2019-05-31,1761.0
2019-06-03,1764.0
2019-06-04,1752.0
2019-06-05,1766.0
2019-06-06,1742.0
2019-06-07,1733.0
